--- Relatorio Consolidado de Monstros ---
Total de spawns encontrados: 2827
--------------------------------------------------
Map: //brasilis | ID: 2081 | Name: Strange Hydra
Map: //sp_os | ID: 20355 | Name: Heart Hunter Bellare
Map: //sp_os | ID: 20357 | Name: Heart Hunter Sanare
Map: //sp_os | ID: 20363 | Name: Venenum
Map: //tha_t01 | ID: 1191 | Name: Mimic
Map: //tha_t01 | ID: 1195 | Name: Rideword
Map: //tha_t01 | ID: 1275 | Name: Alice
Map: //tha_t01 | ID: 1695 | Name: Plasma
Map: //tha_t01 | ID: 1703 | Name: Lady Solace
Map: //tha_t02 | ID: 1191 | Name: Mimic
Map: //tha_t02 | ID: 1195 | Name: Rideword
Map: //tha_t02 | ID: 1275 | Name: Alice
Map: //tha_t02 | ID: 1377 | Name: Elder
Map: //tha_t02 | ID: 1697 | Name: Plasma
Map: //tha_t02 | ID: 1698 | Name: Death Word
Map: //tha_t02 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t02 | ID: 1702 | Name: Baroness of Retribution
Map: //tha_t03 | ID: 1191 | Name: Mimic
Map: //tha_t03 | ID: 1195 | Name: Rideword
Map: //tha_t03 | ID: 1377 | Name: Elder
Map: //tha_t03 | ID: 1696 | Name: Plasma
Map: //tha_t03 | ID: 1698 | Name: Death Word
Map: //tha_t03 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t03 | ID: 1701 | Name: Mistress of Shelter
Map: //tha_t04 | ID: 1191 | Name: Mimic
Map: //tha_t04 | ID: 1195 | Name: Rideword
Map: //tha_t04 | ID: 1295 | Name: Owl Baron
Map: //tha_t04 | ID: 1320 | Name: Owl Duke
Map: //tha_t04 | ID: 1377 | Name: Elder
Map: //tha_t04 | ID: 1694 | Name: Plasma
Map: //tha_t04 | ID: 1698 | Name: Death Word
Map: //tha_t04 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t04 | ID: 1700 | Name: Dame of Sentinel
Map: //tha_t05 | ID: 1295 | Name: Owl Baron
Map: //tha_t05 | ID: 1320 | Name: Owl Duke
Map: //tha_t05 | ID: 1377 | Name: Elder
Map: //tha_t05 | ID: 1694 | Name: Plasma
Map: //tha_t05 | ID: 1695 | Name: Plasma
Map: //tha_t05 | ID: 1696 | Name: Plasma
Map: //tha_t05 | ID: 1697 | Name: Plasma
Map: //tha_t05 | ID: 1698 | Name: Death Word
Map: //tha_t05 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t05 | ID: 1707 | Name: Dolor of Thanatos
Map: //tha_t06 | ID: 1295 | Name: Owl Baron
Map: //tha_t06 | ID: 1320 | Name: Owl Duke
Map: //tha_t06 | ID: 1377 | Name: Elder
Map: //tha_t06 | ID: 1694 | Name: Plasma
Map: //tha_t06 | ID: 1695 | Name: Plasma
Map: //tha_t06 | ID: 1696 | Name: Plasma
Map: //tha_t06 | ID: 1697 | Name: Plasma
Map: //tha_t06 | ID: 1698 | Name: Death Word
Map: //tha_t06 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t06 | ID: 1706 | Name: Maero of Thanatos
Map: //tha_t07 | ID: 1698 | Name: Death Word
Map: //tha_t07 | ID: 1699 | Name: Ancient Mimic
Map: //tha_t07 | ID: 1700 | Name: Dame of Sentinel
Map: //tha_t07 | ID: 1701 | Name: Mistress of Shelter
Map: //tha_t07 | ID: 1702 | Name: Baroness of Retribution
Map: //tha_t07 | ID: 1703 | Name: Lady Solace
Map: //tha_t07 | ID: 1705 | Name: Despero of Thanatos
Map: //tha_t08 | ID: 1698 | Name: Death Word
